timestamp,user_id,event_type,endpoint,response_time_ms,cpu_percent,memory_percent,status_code
2026-08-24T13:59:39.051097+00:00,user_85,search,/api/users,772,21.74,34.51,200
2026-08-24T13:59:39.061097+00:00,user_70,logout,/search,371,91.32,52.18,200
2026-08-24T13:59:39.071097+00:00,user_39,login,/search,674,51.16,87.01,200
2026-08-24T13:59:39.081097+00:00,user_41,search,/checkout,839,34.57,34.51,201
2026-08-24T13:59:39.091097+00:00,user_16,purchase,/api/users,623,89.36,75.68,200
2026-08-24T13:59:39.101097+00:00,user_19,logout,/,967,93.31,77.29,500
2026-08-24T13:59:39.111097+00:00,user_84,logout,/api/orders,344,91.2,25.53,404
2026-08-24T13:59:39.121097+00:00,user_90,logout,/dashboard,269,27.18,57.7,404
2026-08-24T13:59:39.131097+00:00,user_86,purchase,/products,161,62.33,61.08,200
2026-08-24T13:59:39.141097+00:00,user_61,page_view,/dashboard,703,29.79,27.01,200
2026-08-24T13:59:39.151097+00:00,user_84,search,/api/orders,55,91.98,88.45,200
2026-08-24T13:59:39.161097+00:00,user_83,page_view,/login,716,26.95,87.47,200
2026-08-24T13:59:39.171097+00:00,user_5,login,/api/users,717,58.8,57.46,201
2026-08-24T13:59:39.181097+00:00,user_51,search,/dashboard,953,81.2,85.37,200
2026-08-24T13:59:39.191097+00:00,user_2,logout,/login,816,91.78,84.82,400
2026-08-24T13:59:39.201097+00:00,user_70,purchase,/api/orders,1000,93.55,39.92,500
2026-08-24T13:59:39.211097+00:00,user_25,page_view,/checkout,960,89.78,79.57,200
2026-08-24T13:59:39.221097+00:00,user_2,api_request,/checkout,216,72.15,65.38,201
2026-08-24T13:59:39.231097+00:00,user_79,api_request,/api/users,859,35.08,67.21,200
2026-08-24T13:59:39.241097+00:00,user_13,login,/dashboard,896,46.35,42.95,200
2026-08-24T13:59:39.251097+00:00,user_31,search,/search,538,37.51,37.36,200
2026-08-24T13:59:39.261097+00:00,user_84,logout,/products,387,35.67,70.6,200
2026-08-24T13:59:39.271097+00:00,user_88,purchase,/search,113,66.76,52.58,200
2026-08-24T13:59:39.281097+00:00,user_79,login,/products,756,19.98,84.13,200
2026-08-24T13:59:39.291097+00:00,user_48,search,/api/orders,186,50.65,51.85,500
2026-08-24T13:59:39.301097+00:00,user_32,api_request,/login,825,55.69,66.49,200
2026-08-24T13:59:39.311097+00:00,user_73,page_view,/,588,47.97,69.26,200
2026-08-24T13:59:39.321097+00:00,user_20,login,/checkout,898,56.55,55.38,200
2026-08-24T13:59:39.331097+00:00,user_75,search,/login,924,54.23,28.14,200
2026-08-24T13:59:39.341097+00:00,user_66,search,/api/orders,970,53.38,76.61,200
2026-08-24T13:59:39.351097+00:00,user_93,page_view,/api/users,627,14.91,52.37,400
2026-08-24T13:59:39.361097+00:00,user_6,search,/checkout,310,79.4,72.21,200
2026-08-24T13:59:39.371097+00:00,user_9,search,/,767,15.42,89.59,404
2026-08-24T13:59:39.381097+00:00,user_94,api_request,/api/users,343,44.75,73.83,201
2026-08-24T13:59:39.391097+00:00,user_49,search,/login,433,94.39,46.77,400
2026-08-24T13:59:39.401097+00:00,user_45,page_view,/dashboard,749,91.95,81.22,200
2026-08-24T13:59:39.411097+00:00,user_1,page_view,/search,600,43.41,28.91,500
2026-08-24T13:59:39.421097+00:00,user_30,login,/api/orders,524,67.25,58.11,200
2026-08-24T13:59:39.431097+00:00,user_98,page_view,/,404,23.19,33.19,400
2026-08-24T13:59:39.441097+00:00,user_3,login,/products,878,66.12,63.04,404
2026-08-24T13:59:39.451097+00:00,user_91,page_view,/products,118,18.58,22.35,200
2026-08-24T13:59:39.461097+00:00,user_97,page_view,/dashboard,808,13.76,50.73,200
2026-08-24T13:59:39.471097+00:00,user_74,logout,/checkout,565,94.45,36.39,404
2026-08-24T13:59:39.481097+00:00,user_29,search,/search,292,35.65,30.03,200
2026-08-24T13:59:39.491097+00:00,user_23,api_request,/api/users,331,15.18,86.4,400
2026-08-24T13:59:39.501097+00:00,user_86,search,/checkout,619,52.13,88.06,404
2026-08-24T13:59:39.511097+00:00,user_97,purchase,/api/orders,763,45.39,30.45,200
2026-08-24T13:59:39.521097+00:00,user_60,page_view,/api/users,296,82.19,41.05,201
2026-08-24T13:59:39.531097+00:00,user_27,logout,/login,476,57.37,29.39,200
2026-08-24T13:59:39.541097+00:00,user_25,page_view,/search,994,48.23,45.98,200
2026-08-24T13:59:39.551097+00:00,user_25,purchase,/products,436,67.26,62.2,400
2026-08-24T13:59:39.561097+00:00,user_2,login,/products,540,27.76,83.49,200
2026-08-24T13:59:39.571097+00:00,user_32,api_request,/products,809,19.97,89.97,200
2026-08-24T13:59:39.581097+00:00,user_49,search,/checkout,456,87.79,58.65,201
2026-08-24T13:59:39.591097+00:00,user_13,api_request,/api/orders,365,32.23,55.9,200
2026-08-24T13:59:39.601097+00:00,user_53,page_view,/products,829,81.38,84.0,200
2026-08-24T13:59:39.611097+00:00,user_75,api_request,/api/users,809,22.4,38.25,404
2026-08-24T13:59:39.621097+00:00,user_32,search,/checkout,352,22.95,43.09,200
2026-08-24T13:59:39.631097+00:00,user_95,search,/api/orders,313,74.89,54.2,201
2026-08-24T13:59:39.641097+00:00,user_70,search,/dashboard,222,72.29,44.65,200
2026-08-24T13:59:39.651097+00:00,user_68,page_view,/login,988,85.6,89.32,500
2026-08-24T13:59:39.661097+00:00,user_81,login,/login,887,66.8,73.5,200
2026-08-24T13:59:39.671097+00:00,user_8,purchase,/api/orders,774,22.84,35.31,200
2026-08-24T13:59:39.681097+00:00,user_2,page_view,/search,725,51.47,20.46,200
2026-08-24T13:59:39.691097+00:00,user_87,search,/dashboard,598,93.09,21.2,400
2026-08-24T13:59:39.701097+00:00,user_80,purchase,/search,159,88.03,56.71,200
2026-08-24T13:59:39.711097+00:00,user_52,search,/products,884,40.13,75.65,200
2026-08-24T13:59:39.721097+00:00,user_84,api_request,/,763,29.2,67.88,400
2026-08-24T13:59:39.731097+00:00,user_82,page_view,/dashboard,145,44.45,46.4,200
2026-08-24T13:59:39.741097+00:00,user_73,page_view,/,134,52.49,50.37,201
2026-08-24T13:59:39.751097+00:00,user_61,logout,/,285,27.97,80.77,404
2026-08-24T13:59:39.761097+00:00,user_73,api_request,/,996,16.32,84.79,404
2026-08-24T13:59:39.771097+00:00,user_76,login,/api/users,233,88.95,42.01,500
2026-08-24T13:59:39.781097+00:00,user_50,api_request,/checkout,128,35.44,59.48,200
2026-08-24T13:59:39.791097+00:00,user_93,page_view,/checkout,443,74.23,29.8,500
2026-08-24T13:59:39.801097+00:00,user_78,purchase,/api/users,104,18.3,36.25,200
2026-08-24T13:59:39.811097+00:00,user_58,search,/products,842,37.74,64.39,201
2026-08-24T13:59:39.821097+00:00,user_75,api_request,/api/users,414,57.01,46.28,200
2026-08-24T13:59:39.831097+00:00,user_10,page_view,/search,137,75.63,40.68,200
2026-08-24T13:59:39.841097+00:00,user_50,logout,/checkout,207,42.3,74.87,200
2026-08-24T13:59:39.851097+00:00,user_98,logout,/login,159,17.78,86.01,200
2026-08-24T13:59:39.861097+00:00,user_66,search,/login,185,17.42,50.17,200
2026-08-24T13:59:39.871097+00:00,user_42,search,/,76,17.62,58.8,200
2026-08-24T13:59:39.881097+00:00,user_72,login,/dashboard,348,45.17,74.54,201
2026-08-24T13:59:39.891097+00:00,user_64,login,/login,751,42.36,29.72,200
2026-08-24T13:59:39.901097+00:00,user_10,logout,/search,221,46.95,49.48,200
2026-08-24T13:59:39.911097+00:00,user_59,page_view,/dashboard,302,71.28,54.71,200
2026-08-24T13:59:39.921097+00:00,user_49,logout,/api/orders,361,10.58,47.7,400
2026-08-24T13:59:39.931097+00:00,user_77,login,/search,392,46.6,77.65,200
2026-08-24T13:59:39.941097+00:00,user_23,search,/checkout,378,61.27,68.67,200
2026-08-24T13:59:39.951097+00:00,user_32,logout,/api/users,348,72.46,64.3,500
2026-08-24T13:59:39.961097+00:00,user_73,login,/dashboard,337,79.4,47.51,200
2026-08-24T13:59:39.971097+00:00,user_91,login,/api/orders,748,75.25,21.88,201
2026-08-24T13:59:39.981097+00:00,user_53,api_request,/api/orders,866,34.76,68.5,400
2026-08-24T13:59:39.991097+00:00,user_92,search,/api/users,192,63.83,36.94,200
2026-08-24T13:59:40.001097+00:00,user_69,purchase,/api/users,125,48.17,61.86,200
2026-08-24T13:59:40.011097+00:00,user_69,purchase,/login,606,13.13,87.79,201
2026-08-24T13:59:40.021097+00:00,user_83,purchase,/,161,75.36,66.03,200
2026-08-24T13:59:40.031097+00:00,user_97,logout,/api/users,626,93.61,67.42,200
2026-08-24T13:59:40.041097+00:00,user_67,purchase,/products,158,10.9,38.11,200
